,model,male_dist,split,architecture
105,105.pth,0.89,0,a4
106,106.pth,0.2,0,a4
107,107.pth,0.76,0,a4
108,108.pth,0.2,0,a4
109,109.pth,0.83,0,a4
110,110.pth,0.17,0,a4
111,111.pth,0.71,0,a4
112,112.pth,0.05,0,a4
113,113.pth,0.78,0,a4
114,114.pth,0.43,0,a4
115,115.pth,0.85,0,a4
116,116.pth,0.44,0,a4
117,117.pth,0.77,0,a4
118,118.pth,0.28,0,a4
119,119.pth,0.74,0,a4
120,120.pth,0.53,0,a4
121,121.pth,0.89,0,a4
122,122.pth,0.17,0,a4
123,123.pth,0.72,0,a4
124,124.pth,0.62,0,a4
125,125.pth,0.79,0,a4
126,126.pth,0.02,0,a4
127,127.pth,0.79,0,a4
128,128.pth,0.6,0,a4
129,129.pth,0.91,0,a4
130,130.pth,0.52,0,a4
131,131.pth,0.91,0,a4
132,132.pth,0.33,0,a4
133,133.pth,0.7,0,a4
134,134.pth,0.15,0,a4
135,135.pth,0.78,0,a4
136,136.pth,0.02,0,a4
137,137.pth,0.96,0,a4
138,138.pth,0.54,0,a4
139,139.pth,0.78,0,a4
140,140.pth,0.3,0,a4
141,141.pth,0.82,0,a4
142,142.pth,0.42,0,a4
143,143.pth,0.89,0,a4
144,144.pth,0.21,0,a4
145,145.pth,0.92,0,a4
146,146.pth,0.18,0,a4
147,147.pth,0.73,0,a4
148,148.pth,0.44,0,a4
149,149.pth,0.74,0,a4
150,150.pth,0.06,0,a4
151,151.pth,0.94,0,a4
152,152.pth,0.33,0,a4
153,153.pth,0.7,0,a4
154,154.pth,0.11,0,a4
155,155.pth,0.92,0,a4
156,156.pth,0.39,0,a4
157,157.pth,0.96,0,a4
158,158.pth,0.53,0,a4
159,159.pth,0.78,0,a4
160,160.pth,0.44,0,a4
161,161.pth,0.83,0,a4
162,162.pth,0.61,0,a4
163,163.pth,0.75,0,a4
164,164.pth,0.61,0,a4
165,165.pth,0.79,0,a4
166,166.pth,0.49,0,a4
167,167.pth,0.79,0,a4
168,168.pth,0.4,0,a4
169,169.pth,0.93,0,a4
170,170.pth,0.29,0,a4
171,171.pth,1.0,0,a4
172,172.pth,0.21,0,a4
173,173.pth,0.79,0,a4
174,174.pth,0.38,0,a4
175,175.pth,0.77,0,a4
176,176.pth,0.08,0,a4
177,177.pth,0.78,0,a4
178,178.pth,0.03,0,a4
179,179.pth,0.75,0,a4
180,180.pth,0.23,0,a4
181,181.pth,0.73,0,a4
182,182.pth,0.54,0,a4
183,183.pth,0.92,0,a4
184,184.pth,0.35,0,a4
185,185.pth,0.82,0,a4
186,186.pth,0.66,0,a4
187,187.pth,0.86,0,a4
188,188.pth,0.2,0,a4
189,189.pth,0.93,0,a4
190,190.pth,0.01,0,a4
191,191.pth,0.96,0,a4
192,192.pth,0.29,0,a4
193,193.pth,0.9,0,a4
194,194.pth,0.6,0,a4
195,195.pth,0.77,0,a4
196,196.pth,0.34,0,a4
197,197.pth,1.0,0,a4
198,198.pth,0.29,0,a4
199,199.pth,0.82,0,a4
200,200.pth,0.22,0,a4
201,201.pth,0.89,0,a4
202,202.pth,0.59,0,a4
203,203.pth,0.89,0,a4
204,204.pth,0.15,0,a4
205,205.pth,0.79,0,a4
206,206.pth,0.26,0,a4
207,207.pth,0.93,0,a4
208,208.pth,0.18,0,a4
209,209.pth,0.98,0,a4
210,210.pth,0.01,0,a4
211,211.pth,0.99,0,a4
212,212.pth,0.55,0,a4
213,213.pth,0.86,0,a4
214,214.pth,0.59,0,a4
215,215.pth,0.74,0,a4
216,216.pth,0.69,0,a4
217,217.pth,0.89,0,a4
218,218.pth,0.06,0,a4
219,219.pth,0.86,0,a4
220,220.pth,0.2,0,a4
221,221.pth,0.72,0,a4
222,222.pth,0.34,0,a4
223,223.pth,0.7,0,a4
224,224.pth,0.56,0,a4
225,225.pth,0.95,0,a4
226,226.pth,0.02,0,a4
227,227.pth,0.77,0,a4
228,228.pth,0.1,0,a4
229,229.pth,0.91,0,a4
230,230.pth,0.07,0,a4
231,231.pth,0.73,0,a4
232,232.pth,0.27,0,a4
233,233.pth,0.81,0,a4
234,234.pth,0.16,0,a4
235,235.pth,0.99,0,a4
236,236.pth,0.33,0,a4
237,237.pth,0.79,0,a4
238,238.pth,0.47,0,a4
239,239.pth,0.81,0,a4
240,240.pth,0.61,0,a4
241,241.pth,0.9,0,a4
242,242.pth,0.59,0,a4
243,243.pth,0.73,0,a4
244,244.pth,0.26,0,a4
245,245.pth,0.83,0,a4
246,246.pth,0.29,0,a4
247,247.pth,0.96,0,a4
248,248.pth,0.67,0,a4
249,249.pth,0.92,0,a4
250,250.pth,0.62,0,a4
251,251.pth,0.74,0,a4
252,252.pth,0.26,0,a4
253,253.pth,0.77,0,a4
254,254.pth,0.41,0,a4
255,255.pth,0.92,0,a4
256,256.pth,0.39,0,a4
257,257.pth,0.84,0,a4
258,258.pth,0.43,0,a4
259,259.pth,0.96,0,a4
260,260.pth,0.4,0,a4
261,261.pth,0.92,0,a4
262,262.pth,0.49,0,a4
263,263.pth,0.71,0,a4
264,264.pth,0.69,0,a4
265,265.pth,0.97,0,a4
266,266.pth,0.38,0,a4
267,267.pth,0.7,0,a4
268,268.pth,0.61,0,a4
269,269.pth,0.82,0,a4
270,270.pth,0.36,0,a4
271,271.pth,0.83,0,a4
272,272.pth,0.23,0,a4
273,273.pth,0.78,0,a4
274,274.pth,0.21,0,a4
275,275.pth,0.94,0,a4
276,276.pth,0.0,0,a4
277,277.pth,0.83,0,a4
278,278.pth,0.66,0,a4
279,279.pth,0.91,0,a4
280,280.pth,0.49,0,a4
281,281.pth,0.88,0,a4
282,282.pth,0.46,0,a4
283,283.pth,0.88,0,a4
284,284.pth,0.37,0,a4
285,285.pth,0.96,0,a4
286,286.pth,0.49,0,a4
287,287.pth,0.84,0,a4
288,288.pth,0.04,0,a4
289,289.pth,0.71,0,a4
290,290.pth,0.24,0,a4
291,291.pth,0.92,0,a4
292,292.pth,0.67,0,a4
293,293.pth,0.71,0,a4
294,294.pth,0.24,0,a4
295,295.pth,0.92,0,a4
296,296.pth,0.49,0,a4
297,297.pth,0.92,0,a4
298,298.pth,0.4,0,a4
299,299.pth,0.97,0,a4
300,300.pth,0.4,0,a4
301,301.pth,0.96,0,a4
302,302.pth,0.17,0,a4
303,303.pth,0.91,0,a4
304,304.pth,0.32,0,a4
305,305.pth,0.92,0,a4
306,306.pth,0.16,0,a4
307,307.pth,0.86,0,a4
308,308.pth,0.49,0,a4
309,309.pth,0.86,0,a4
310,310.pth,0.69,0,a4
311,311.pth,0.74,0,a4
312,312.pth,0.2,0,a4
313,313.pth,0.75,0,a4
314,314.pth,0.43,0,a4
315,315.pth,0.97,0,a4
316,316.pth,0.03,0,a4
317,317.pth,0.97,0,a4
318,318.pth,0.25,0,a4
319,319.pth,0.98,0,a4
320,320.pth,0.35,0,a4
321,321.pth,0.73,0,a4
322,322.pth,0.45,0,a4
323,323.pth,0.9,0,a4
324,324.pth,0.42,0,a4
325,325.pth,0.76,0,a4
326,326.pth,0.32,0,a4
327,327.pth,0.88,0,a4
328,328.pth,0.63,0,a4
329,329.pth,0.83,0,a4
330,330.pth,0.15,0,a4
331,331.pth,0.76,0,a4
332,332.pth,0.48,0,a4
333,333.pth,0.73,0,a4
334,334.pth,0.17,0,a4
335,335.pth,0.82,0,a4
336,336.pth,0.62,0,a4
337,337.pth,0.81,0,a4
338,338.pth,0.66,0,a4
339,339.pth,0.75,0,a4
340,340.pth,0.51,0,a4
341,341.pth,0.73,0,a4
342,342.pth,0.31,0,a4
343,343.pth,0.83,0,a4
344,344.pth,0.54,0,a4
345,345.pth,0.95,0,a4
346,346.pth,0.42,0,a4
347,347.pth,0.87,0,a4
348,348.pth,0.44,0,a4
349,349.pth,0.87,0,a4
350,350.pth,0.09,0,a4
351,351.pth,0.77,0,a4
352,352.pth,0.56,0,a4
353,353.pth,0.9,0,a4
354,354.pth,0.19,0,a4
355,355.pth,0.92,0,a4
356,356.pth,0.0,0,a4
357,357.pth,0.88,0,a4
358,358.pth,0.48,0,a4
359,359.pth,0.86,0,a4
360,360.pth,0.36,0,a4
361,361.pth,0.99,0,a4
362,362.pth,0.32,0,a4
363,363.pth,0.83,0,a4
364,364.pth,0.66,0,a4
365,365.pth,0.76,0,a4
366,366.pth,0.48,0,a4
367,367.pth,0.79,0,a4
368,368.pth,0.57,0,a4
369,369.pth,0.85,0,a4
370,370.pth,0.08,0,a4
371,371.pth,0.98,0,a4
372,372.pth,0.54,0,a4
373,373.pth,0.88,0,a4
374,374.pth,0.52,0,a4
375,375.pth,0.92,0,a4
376,376.pth,0.09,0,a4
377,377.pth,0.98,0,a4
378,378.pth,0.29,0,a4
379,379.pth,0.82,0,a4
380,380.pth,0.34,0,a4
381,381.pth,0.73,0,a4
382,382.pth,0.64,0,a4
383,383.pth,0.88,0,a4
384,384.pth,0.66,0,a4
385,385.pth,0.9,0,a4
386,386.pth,0.42,0,a4
387,387.pth,0.88,0,a4
388,388.pth,0.16,0,a4
389,389.pth,0.82,0,a4
390,390.pth,0.54,0,a4
391,391.pth,0.77,0,a4
392,392.pth,0.31,0,a4
393,393.pth,0.97,0,a4
394,394.pth,0.01,0,a4
395,395.pth,0.99,0,a4
396,396.pth,0.6,0,a4
397,397.pth,0.99,0,a4
398,398.pth,0.38,0,a4
399,399.pth,0.92,0,a4
400,400.pth,0.04,0,a4
401,401.pth,0.79,0,a4
402,402.pth,0.64,0,a4
403,403.pth,0.92,0,a4
404,404.pth,0.15,0,a4
405,405.pth,0.94,0,a4
406,406.pth,0.67,0,a4
407,407.pth,0.77,0,a4
408,408.pth,0.4,0,a4
409,409.pth,0.89,0,a4
410,410.pth,0.34,0,a4
411,411.pth,0.78,0,a4
412,412.pth,0.57,0,a4
413,413.pth,0.9,0,a4
414,414.pth,0.07,0,a4
415,415.pth,0.85,0,a4
416,416.pth,0.0,0,a4
417,417.pth,0.99,0,a4
418,418.pth,0.26,0,a4
419,419.pth,0.77,0,a4
420,420.pth,0.31,0,a4
421,421.pth,0.9,0,a4
422,422.pth,0.59,0,a4
423,423.pth,0.7,0,a4
424,424.pth,0.56,0,a4
425,425.pth,0.81,0,a4
426,426.pth,0.2,0,a4
427,427.pth,0.79,0,a4
428,428.pth,0.21,0,a4
429,429.pth,0.77,0,a4
430,430.pth,0.02,0,a4
431,431.pth,0.95,0,a4
432,432.pth,0.49,0,a4
433,433.pth,0.84,0,a4
434,434.pth,0.69,0,a4
435,435.pth,0.79,0,a4
436,436.pth,0.63,0,a4
437,437.pth,0.73,0,a4
438,438.pth,0.43,0,a4
439,439.pth,0.83,0,a4
440,440.pth,0.19,0,a4
441,441.pth,0.83,0,a4
442,442.pth,0.57,0,a4
443,443.pth,0.88,0,a4
444,444.pth,0.42,0,a4
445,445.pth,0.98,0,a4
446,446.pth,0.28,0,a4
447,447.pth,0.8,0,a4
448,448.pth,0.25,0,a4
449,449.pth,0.95,0,a4
450,450.pth,0.06,0,a4
451,451.pth,0.8,0,a4
452,452.pth,0.69,0,a4
453,453.pth,0.73,0,a4
454,454.pth,0.35,0,a4
455,455.pth,0.93,0,a4
456,456.pth,0.37,0,a4
457,457.pth,0.96,0,a4
458,458.pth,0.39,0,a4
459,459.pth,0.89,0,a4
460,460.pth,0.14,0,a4
461,461.pth,0.98,0,a4
462,462.pth,0.69,0,a4
463,463.pth,0.9,0,a4
464,464.pth,0.29,0,a4
465,465.pth,0.8,0,a4
466,466.pth,0.32,0,a4
467,467.pth,0.83,0,a4
468,468.pth,0.06,0,a4
469,469.pth,0.81,0,a4
470,470.pth,0.52,0,a4
471,471.pth,0.86,0,a4
472,472.pth,0.23,0,a4
473,473.pth,0.79,0,a4
474,474.pth,0.64,0,a4
475,475.pth,0.93,0,a4
476,476.pth,0.08,0,a4
477,477.pth,0.8,0,a4
478,478.pth,0.32,0,a4
479,479.pth,0.99,0,a4
480,480.pth,0.65,0,a4
481,481.pth,0.73,0,a4
482,482.pth,0.25,0,a4
483,483.pth,0.94,0,a4
484,484.pth,0.47,0,a4
485,485.pth,0.85,0,a4
486,486.pth,0.3,0,a4
487,487.pth,0.85,0,a4
488,488.pth,0.59,0,a4
489,489.pth,0.8,0,a4
490,490.pth,0.47,0,a4
491,491.pth,0.91,0,a4
492,492.pth,0.5,0,a4
493,493.pth,0.89,0,a4
494,494.pth,0.29,0,a4
495,495.pth,1.0,0,a4
496,496.pth,0.62,0,a4
497,497.pth,0.8,0,a4
498,498.pth,0.67,0,a4
499,499.pth,0.82,0,a4
500,500.pth,0.47,0,a4
501,501.pth,0.86,0,a4
502,502.pth,0.45,0,a4
503,503.pth,0.87,0,a4
504,504.pth,0.11,0,a4
505,505.pth,0.74,0,a4
506,506.pth,0.6,0,a4
507,507.pth,0.78,0,a4
508,508.pth,0.15,0,a4
509,509.pth,0.77,0,a4
510,510.pth,0.66,0,a4
511,511.pth,0.95,0,a4
512,512.pth,0.17,0,a4
513,513.pth,0.79,0,a4
514,514.pth,0.32,0,a4
515,515.pth,0.77,0,a4
516,516.pth,0.31,0,a4
517,517.pth,0.96,0,a4
518,518.pth,0.41,0,a4
519,519.pth,0.75,0,a4
520,520.pth,0.56,0,a4
521,521.pth,0.89,0,a4
522,522.pth,0.59,0,a4
523,523.pth,0.86,0,a4
524,524.pth,0.66,0,a4
525,525.pth,0.95,0,a4
526,526.pth,0.19,0,a4
527,527.pth,0.86,0,a4
528,528.pth,0.34,0,a4
529,529.pth,0.98,0,a4
530,530.pth,0.25,0,a4
531,531.pth,1.0,0,a4
532,532.pth,0.22,0,a4
533,533.pth,0.78,0,a4
534,534.pth,0.01,0,a4
535,535.pth,0.83,0,a4
536,536.pth,0.5,0,a4
537,537.pth,1.0,0,a4
538,538.pth,0.57,0,a4
539,539.pth,0.89,0,a4
540,540.pth,0.18,0,a4
541,541.pth,0.9,0,a4
542,542.pth,0.31,0,a4
543,543.pth,0.97,0,a4
544,544.pth,0.39,0,a4
545,545.pth,0.93,0,a4
546,546.pth,0.36,0,a4
547,547.pth,0.83,0,a4
548,548.pth,0.19,0,a4
549,549.pth,0.71,0,a4
550,550.pth,0.28,0,a4
551,551.pth,0.95,0,a4
552,552.pth,0.26,0,a4
553,553.pth,0.9,0,a4
554,554.pth,0.68,0,a4
555,555.pth,0.88,0,a4
556,556.pth,0.0,0,a4
557,557.pth,0.97,0,a4
558,558.pth,0.08,0,a4
559,559.pth,0.84,0,a4
560,560.pth,0.15,0,a4
561,561.pth,0.85,0,a4
562,562.pth,0.42,0,a4
563,563.pth,0.8,0,a4
564,564.pth,0.21,0,a4
565,565.pth,0.95,0,a4
566,566.pth,0.0,0,a4
567,567.pth,0.86,0,a4
568,568.pth,0.47,0,a4
569,569.pth,0.78,0,a4
570,570.pth,0.68,0,a4
571,571.pth,0.93,0,a4
572,572.pth,0.01,0,a4
573,573.pth,0.99,0,a4
574,574.pth,0.12,0,a4
575,575.pth,0.89,0,a4
576,576.pth,0.16,0,a4
577,577.pth,0.99,0,a4
578,578.pth,0.04,0,a4
579,579.pth,0.86,0,a4
580,580.pth,0.25,0,a4
581,581.pth,0.97,0,a4
582,582.pth,0.63,0,a4
583,583.pth,0.92,0,a4
584,584.pth,0.09,0,a4
585,585.pth,0.83,0,a4
586,586.pth,0.5,0,a4
587,587.pth,0.9,0,a4
588,588.pth,0.64,0,a4
589,589.pth,0.98,0,a4
590,590.pth,0.54,0,a4
591,591.pth,0.82,0,a4
592,592.pth,0.41,0,a4
593,593.pth,0.7,0,a4
594,594.pth,0.14,0,a4
595,595.pth,0.98,0,a4
596,596.pth,0.27,0,a4
597,597.pth,0.74,0,a4
598,598.pth,0.0,0,a4
599,599.pth,0.9,0,a4
600,600.pth,0.5,0,a4
601,601.pth,0.72,0,a4
602,602.pth,0.63,0,a4
603,603.pth,0.82,0,a4
604,604.pth,0.25,0,a4
605,605.pth,0.97,0,a4
606,606.pth,0.06,0,a4
607,607.pth,0.88,0,a4
608,608.pth,0.27,0,a4
609,609.pth,0.79,0,a4
610,610.pth,0.5,0,a4
611,611.pth,0.87,0,a4
612,612.pth,0.44,0,a4
613,613.pth,0.88,0,a4
614,614.pth,0.04,0,a4
615,615.pth,1.0,0,a4
616,616.pth,0.07,0,a4
617,617.pth,0.8,0,a4
618,618.pth,0.31,0,a4
619,619.pth,0.77,0,a4
620,620.pth,0.06,0,a4
621,621.pth,0.74,0,a4
622,622.pth,0.54,0,a4
623,623.pth,0.86,0,a4
624,624.pth,0.38,0,a4
625,625.pth,0.91,0,a4
626,626.pth,0.14,0,a4
627,627.pth,0.82,0,a4
628,628.pth,0.26,0,a4
629,629.pth,0.8,0,a4
630,630.pth,0.08,0,a4
631,631.pth,0.93,0,a4
632,632.pth,0.46,0,a4
633,633.pth,0.99,0,a4
634,634.pth,0.11,0,a4
635,635.pth,0.7,0,a4
636,636.pth,0.49,0,a4
637,637.pth,0.83,0,a4
638,638.pth,0.28,0,a4
639,639.pth,0.83,0,a4
640,640.pth,0.27,0,a4
641,641.pth,0.77,0,a4
642,642.pth,0.03,0,a4
643,643.pth,0.87,0,a4
644,644.pth,0.47,0,a4
645,645.pth,0.94,0,a4
646,646.pth,0.3,0,a4
647,647.pth,0.72,0,a4
648,648.pth,0.66,0,a4
649,649.pth,0.88,0,a4
650,650.pth,0.21,0,a4
651,651.pth,0.95,0,a4
652,652.pth,0.1,0,a4
653,653.pth,0.82,0,a4
654,654.pth,0.29,0,a4
655,655.pth,0.98,0,a4
656,656.pth,0.16,0,a4
657,657.pth,0.72,0,a4
658,658.pth,0.57,0,a4
659,659.pth,0.89,0,a4
660,660.pth,0.59,0,a4
661,661.pth,0.87,0,a4
662,662.pth,0.27,0,a4
663,663.pth,0.93,0,a4
664,664.pth,0.3,0,a4
665,665.pth,0.96,0,a4
666,666.pth,0.16,0,a4
667,667.pth,0.75,0,a4
668,668.pth,0.56,0,a4
669,669.pth,0.97,0,a4
670,670.pth,0.65,0,a4
671,671.pth,0.86,0,a4
672,672.pth,0.49,0,a4
673,673.pth,0.89,0,a4
674,674.pth,0.67,0,a4
675,675.pth,0.87,0,a4
676,676.pth,0.06,0,a4
677,677.pth,0.94,0,a4
678,678.pth,0.12,0,a4
679,679.pth,0.93,0,a4
680,680.pth,0.49,0,a4
681,681.pth,0.75,0,a4
682,682.pth,0.53,0,a4
683,683.pth,0.88,0,a4
684,684.pth,0.69,0,a4
685,685.pth,0.8,0,a4
686,686.pth,0.16,0,a4
687,687.pth,0.72,0,a4
688,688.pth,0.39,0,a4
689,689.pth,0.95,0,a4
690,690.pth,0.56,0,a4
691,691.pth,1.0,0,a4
692,692.pth,0.12,0,a4
693,693.pth,0.89,0,a4
694,694.pth,0.64,0,a4
695,695.pth,0.81,0,a4
696,696.pth,0.69,0,a4
697,697.pth,0.91,0,a4
698,698.pth,0.22,0,a4
699,699.pth,0.74,0,a4
700,700.pth,0.69,0,a4
701,701.pth,0.92,0,a4
702,702.pth,0.02,0,a4
703,703.pth,0.89,0,a4
704,704.pth,0.24,0,a4
705,705.pth,0.82,0,a4
706,706.pth,0.31,0,a4
707,707.pth,0.84,0,a4
708,708.pth,0.15,0,a4
709,709.pth,0.77,0,a4
710,710.pth,0.3,0,a4
711,711.pth,0.85,0,a4
712,712.pth,0.27,0,a4
713,713.pth,0.79,0,a4
714,714.pth,0.16,0,a4
715,715.pth,0.72,0,a4
716,716.pth,0.46,0,a4
717,717.pth,0.76,0,a4
718,718.pth,0.06,0,a4
719,719.pth,0.75,0,a4
720,720.pth,0.58,0,a4
721,721.pth,0.94,0,a4
722,722.pth,0.18,0,a4
723,723.pth,0.89,0,a4
724,724.pth,0.63,0,a4
725,725.pth,0.97,0,a4
726,726.pth,0.61,0,a4
727,727.pth,0.92,0,a4
728,728.pth,0.43,0,a4
729,729.pth,0.75,0,a4
730,730.pth,0.36,0,a4
731,731.pth,0.84,0,a4
732,732.pth,0.23,0,a4
733,733.pth,0.92,0,a4
734,734.pth,0.18,0,a4
735,735.pth,0.89,0,a4
736,736.pth,0.14,0,a4
737,737.pth,0.92,0,a4
738,738.pth,0.46,0,a4
739,739.pth,0.89,0,a4
740,740.pth,0.4,0,a4
741,741.pth,0.8,0,a4
742,742.pth,0.25,0,a4
743,743.pth,0.82,0,a4
744,744.pth,0.28,0,a4
745,745.pth,0.82,0,a4
746,746.pth,0.62,0,a4
747,747.pth,0.79,0,a4
748,748.pth,0.05,0,a4
749,749.pth,0.81,0,a4
750,750.pth,0.55,0,a4
751,751.pth,0.79,0,a4
752,752.pth,0.36,0,a4
753,753.pth,0.77,0,a4
754,754.pth,0.36,0,a4
755,755.pth,0.89,0,a4
756,756.pth,0.3,0,a4
757,757.pth,0.82,0,a4
758,758.pth,0.33,0,a4
759,759.pth,0.86,0,a4
760,760.pth,0.61,0,a4
761,761.pth,0.92,0,a4
762,762.pth,0.34,0,a4
763,763.pth,0.95,0,a4
764,764.pth,0.63,0,a4
765,765.pth,0.93,0,a4
766,766.pth,0.39,0,a4
767,767.pth,0.79,0,a4
768,768.pth,0.12,0,a4
769,769.pth,0.8,0,a4
770,770.pth,0.43,0,a4
771,771.pth,0.7,0,a4
772,772.pth,0.22,0,a4
773,773.pth,0.92,0,a4
774,774.pth,0.29,0,a4
775,775.pth,1.0,0,a4
776,776.pth,0.59,0,a4
777,777.pth,0.74,0,a4
778,778.pth,0.04,0,a4
779,779.pth,0.94,0,a4
780,780.pth,0.63,0,a4
781,781.pth,0.81,0,a4
782,782.pth,0.51,0,a4
783,783.pth,0.95,0,a4
784,784.pth,0.31,0,a4
785,785.pth,0.75,0,a4
786,786.pth,0.16,0,a4
787,787.pth,0.89,0,a4
788,788.pth,0.33,0,a4
789,789.pth,0.84,0,a4
790,790.pth,0.07,0,a4
791,791.pth,0.83,0,a4
792,792.pth,0.24,0,a4
793,793.pth,0.71,0,a4
794,794.pth,0.53,0,a4
795,795.pth,0.87,0,a4
796,796.pth,0.63,0,a4
797,797.pth,0.71,0,a4
798,798.pth,0.43,0,a4
799,799.pth,0.92,0,a4
800,800.pth,0.22,0,a4
801,801.pth,0.72,0,a4
802,802.pth,0.04,0,a4
803,803.pth,0.82,0,a4
804,804.pth,0.23,0,a4
805,805.pth,0.89,0,a4
806,806.pth,0.38,0,a4
807,807.pth,0.79,0,a4
808,808.pth,0.16,0,a4
809,809.pth,0.97,0,a4
810,810.pth,0.28,0,a4
811,811.pth,0.72,0,a4
812,812.pth,0.49,0,a4
813,813.pth,0.85,0,a4
814,814.pth,0.05,0,a4
815,815.pth,0.75,0,a4
816,816.pth,0.35,0,a4
817,817.pth,0.78,0,a4
818,818.pth,0.65,0,a4
819,819.pth,0.73,0,a4
820,820.pth,0.15,0,a4
821,821.pth,0.72,0,a4
822,822.pth,0.37,0,a4
823,823.pth,0.7,0,a4
824,824.pth,0.58,0,a4
825,825.pth,0.7,0,a4
826,826.pth,0.67,0,a4
827,827.pth,0.96,0,a4
828,828.pth,0.6,0,a4
829,829.pth,0.7,0,a4
830,830.pth,0.51,0,a4
831,831.pth,0.95,0,a4
832,832.pth,0.69,0,a4
833,833.pth,0.75,0,a4
834,834.pth,0.07,0,a4
835,835.pth,0.97,0,a4
836,836.pth,0.32,0,a4
837,837.pth,0.82,0,a4
838,838.pth,0.44,0,a4
839,839.pth,0.98,0,a4
840,840.pth,0.38,0,a4
841,841.pth,0.95,0,a4
842,842.pth,0.62,0,a4
843,843.pth,0.91,0,a4
844,844.pth,0.2,0,a4
845,845.pth,0.92,0,a4
846,846.pth,0.39,0,a4
847,847.pth,0.81,0,a4
848,848.pth,0.55,0,a4
849,849.pth,0.98,0,a4
850,850.pth,0.67,0,a4
851,851.pth,0.76,0,a4
852,852.pth,0.59,0,a4
853,853.pth,0.96,0,a4
854,854.pth,0.16,0,a4
855,855.pth,0.9,0,a4
856,856.pth,0.63,0,a4
857,857.pth,0.9,0,a4
858,858.pth,0.28,0,a4
859,859.pth,0.81,0,a4
860,860.pth,0.44,0,a4
861,861.pth,0.91,0,a4
862,862.pth,0.33,0,a4
863,863.pth,0.92,0,a4
864,864.pth,0.14,0,a4
865,865.pth,0.88,0,a4
866,866.pth,0.52,0,a4
867,867.pth,0.87,0,a4
868,868.pth,0.06,0,a4
869,869.pth,1.0,0,a4
870,870.pth,0.34,0,a4
871,871.pth,0.89,0,a4
872,872.pth,0.51,0,a4
